timestamp,reviewer,loan_num,doc_type,action,score,reasons,pdf_name
2026-03-10 23:41:35,,1,Loan Application,Approve,,"applicant_name missing, Validation error (Loan Application): Applicant name missing",Loan_Application.pdf
2026-03-10 23:42:39,,1,Loan Application,Approve,,"applicant_name missing, Validation error (Loan Application): Applicant name missing",Loan_Application.pdf
2026-03-11 10:52:31,,1,Appraisal Report,Approve,,"property_address missing, Validation error (Appraisal Report): Property address missing",Appraisal_Report.pdf
2026-03-11 10:52:31,,1,Bank Statement,Approve,,"account_holder missing, signature missing, Validation error (Bank Statement): Account holder missing, Validation error (Bank Statement): Signature missing",Bank_Statement.pdf
2026-03-11 10:52:31,,1,Closing Documents,Approve,,"property_address missing, buyer missing, seller missing, signature missing, Validation error (Closing Documents): Property address missing, Validation error (Closing Documents): Buyer missing, Validation error (Closing Documents): Seller missing, Validation error (Closing Documents): Signature missing",Closing_Documents.pdf
2026-03-11 10:52:31,,1,Credit Report,Approve,,"applicant_name missing, signature missing, Validation error (Credit Report): Applicant name missing, Validation error (Credit Report): Signature missing",Credit_Report.pdf
2026-03-11 10:52:31,,1,Disclosure,Approve,,"disclosure_date missing, signature missing, Validation error (Disclosure): Disclosure date missing, Validation error (Disclosure): Signature missing",Disclosure.pdf
2026-03-11 10:52:31,,1,Income Verification,Approve,,"applicant_name missing, signature missing, Validation error (Income Verification): Applicant name missing, Validation error (Income Verification): Signature missing",Income_Verification.pdf
2026-03-11 10:52:31,,1,Loan Application,Approve,,"applicant_name missing, signature missing, Validation error (Loan Application): Applicant name missing, Validation error (Loan Application): Signature missing",Loan_Application.pdf
2026-03-11 10:52:31,,1,Tax Return,Approve,,"taxpayer_name missing, signature missing, Validation error (Tax Return): Taxpayer name missing, Validation error (Tax Return): Signature missing",Tax_Return.pdf
2026-03-11 15:26:37,,1,Appraisal Report,Approve,,"property_address missing, Validation error (Appraisal Report): Property address missing",Appraisal_Report.pdf
2026-03-11 15:26:37,,1,Bank Statement,Approve,,"account_holder missing, signature missing, Validation error (Bank Statement): Account holder missing, Validation error (Bank Statement): Signature missing",Bank_Statement.pdf
2026-03-11 15:26:37,,1,Closing Documents,Approve,,"property_address missing, buyer missing, seller missing, signature missing, Validation error (Closing Documents): Property address missing, Validation error (Closing Documents): Buyer missing, Validation error (Closing Documents): Seller missing, Validation error (Closing Documents): Signature missing",Closing_Documents.pdf
2026-03-11 15:26:37,,1,Credit Report,Approve,,"applicant_name missing, signature missing, Validation error (Credit Report): Applicant name missing, Validation error (Credit Report): Signature missing",Credit_Report.pdf
2026-03-11 15:26:37,,1,Disclosure,Approve,,"disclosure_date missing, signature missing, Validation error (Disclosure): Disclosure date missing, Validation error (Disclosure): Signature missing",Disclosure.pdf
2026-03-11 15:26:37,,1,Income Verification,Approve,,"applicant_name missing, signature missing, Validation error (Income Verification): Applicant name missing, Validation error (Income Verification): Signature missing",Income_Verification.pdf
2026-03-11 15:26:37,,1,Loan Application,Approve,,"applicant_name missing, signature missing, Validation error (Loan Application): Applicant name missing, Validation error (Loan Application): Signature missing",Loan_Application.pdf
2026-03-11 15:26:37,,1,Tax Return,Approve,,"taxpayer_name missing, signature missing, Validation error (Tax Return): Taxpayer name missing, Validation error (Tax Return): Signature missing",Tax_Return.pdf
2026-03-11 16:03:31,,1,Appraisal Report,Approve,,"property_address missing, Validation error (Appraisal Report): Property address missing",Appraisal_Report.pdf
2026-03-11 16:03:31,,1,Bank Statement,Approve,,"account_holder missing, signature missing, Validation error (Bank Statement): Account holder missing, Validation error (Bank Statement): Signature missing",Bank_Statement.pdf
2026-03-11 16:03:31,,1,Closing Documents,Approve,,"property_address missing, buyer missing, seller missing, signature missing, Validation error (Closing Documents): Property address missing, Validation error (Closing Documents): Buyer missing, Validation error (Closing Documents): Seller missing, Validation error (Closing Documents): Signature missing",Closing_Documents.pdf
2026-03-11 16:03:31,,1,Credit Report,Approve,,"applicant_name missing, signature missing, Validation error (Credit Report): Applicant name missing, Validation error (Credit Report): Signature missing",Credit_Report.pdf
2026-03-11 16:03:31,,1,Disclosure,Approve,,"disclosure_date missing, signature missing, Validation error (Disclosure): Disclosure date missing, Validation error (Disclosure): Signature missing",Disclosure.pdf
2026-03-11 16:03:31,,1,Income Verification,Approve,,"applicant_name missing, signature missing, Validation error (Income Verification): Applicant name missing, Validation error (Income Verification): Signature missing",Income_Verification.pdf
2026-03-11 16:03:31,,1,Loan Application,Approve,,"applicant_name missing, signature missing, Validation error (Loan Application): Applicant name missing, Validation error (Loan Application): Signature missing",Loan_Application.pdf
2026-03-11 16:03:31,,1,Tax Return,Approve,,"taxpayer_name missing, signature missing, Validation error (Tax Return): Taxpayer name missing, Validation error (Tax Return): Signature missing",Tax_Return.pdf
